Fecha,"Numero de clientes 
Nunca015","Numero de clientes 
Nunca+15","Numero de clientes 
Activos SinVdo","Numero de clientes 
Vencidos1","Numero de clientes 
Vencidos2","Numero de clientes 
Vencidos3","Numero de clientes 
Vencidos+4","Numero de clientes 
Saldado015","Numero de clientes 
Saldado+15","Numero de clientes 
ClientesZ","Numero de clientes 
Quebrantados","Numero de clientes 
Generados","Numero de clientes 
Generados Por
Quebranto","Total de 
Clientes","TC 
Nunca015","TC 
Nunca+15","TC 
Activos SinVdo","TC 
Vencidos1","TC 
Vencidos2","TC 
Vencidos3","TC 
Vencidos+4","TC 
Saldado015","TC 
Saldado+15","TC 
ClientesZ","TC 
Quebrantados","TC 
Generados","TC 
Generados
Por Quebranto","TC 
Total","CPA 
Nunca015","CPA 
Nunca+15","CPA 
Activos SinVdo","CPA 
Vencidos1","CPA 
Vencidos2","CPA 
Vencidos3","CPA 
Vencidos+4","CPA 
Saldado015","CPA 
Saldado+15","CPA 
ClientesZ","CPA 
Quebrantados","CPA 
Generados","CPA 
Generados
Por Quebranto","CPA 
Total","Venta 
Nunca015","Venta 
Nunca+15","Venta 
Activos SinVdo","Venta 
Vencidos1","Venta 
Vencidos2","Venta 
Vencidos3","Venta 
Vencidos+4","Venta 
Saldado015","Venta 
Saldado+15","Venta 
ClientesZ","Venta 
Quebrantados","Venta 
Generados","Venta 
Generados
Por Quebranto","Venta 
Total","Venta 
De contado"
41670,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,230294,0,25662912,6.888740513,0.478615071,28.41995238,11.38523515,5.486042193,2.760888874,0.769753074,16.89250204,1.194226248,0.024170497,0.251066561,69.62882229,0,10.53133019,1881.480873,1949.884087,2149.320791,2620.005106,2788.457971,2795.797274,2488.432289,2217.268745,2326.573593,2077.890045,2509.345052,1664.304786,0,2622.926164,74152924.15,10080900.73,4260854374,212809914.7,77842592.72,35979115.12,34106452.95,780194787.9,53336699.62,4128767.52,7008600.73,266872936.7,0,7088840904,1271472838
41698,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,436201,0,25868819,10.22247003,0.818181818,43.85999294,19.78655049,10.27876311,5.453125603,1.61684089,26.56500914,2.078865295,0.053535157,0.443254283,73.48699338,0,16.6129308,2036.402659,2063.808776,2596.341501,2850.162414,2913.306976,2856.714962,2607.812327,2468.03802,2444.456233,2141.756939,2924.833782,1875.487061,0,3059.090185,119099009.5,18239941.96,7943327674,402334626.6,152377608.1,72611980.91,75076309.08,1365691306,97550914.89,9425872.29,14422355.38,601189252.9,0,13146651146,2275304294
41729,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,705268,0,26137886,13.19718522,1.233567858,55.4924931,27.62845096,15.52878521,8.647166597,2.759283398,34.78500072,3.07399306,0.099285152,0.631576676,76.24647652,0,21.66111674,2216.234733,2172.355776,3131.731101,3134.386972,3179.466167,3057.184994,2908.158038,2760.805358,2559.421741,2218.31215,3385.152464,2055.465659,0,3556.583258,167334587.3,28946640.71,12122461334,617812747.2,251238237.1,123222898.4,142880712.6,2000407781,151031477,18105863.77,23784081.21,1105310214,0,20136513713,3383977139
41759,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,977923,0,26410541,15.66239369,1.647102388,63.7841039,34.19873736,20.23110709,11.70776499,3.92256192,41.16472004,4.080685416,0.14969408,0.798504927,78.46077861,0,25.56648499,2406.698469,2308.329692,3683.379754,3445.341683,3455.967834,3318.508149,3155.555548,3057.967945,2680.186506,2375.437315,3798.991577,2256.69791,0,4065.006105,215659436.4,41069801.88,16388192651,840601354.4,355781520.6,181097626.7,220396621.7,2622097426,209952409.9,29232131.6,33746442.18,1731532712,0,27447925278,4578565143
41790,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,1262252,0,26694870,17.83116189,2.057489354,69.98192804,39.92198188,24.61074373,14.68126097,5.141440583,46.57454344,5.105922789,0.208009813,0.96030937,80.14350542,0,28.78224168,2643.33933,2509.432274,4286.268469,3820.656288,3776.970814,3617.96491,3449.341179,3394.926994,2869.334972,2599.778137,4273.046969,2500.027656,0,4624.221758,269662905.1,55772132.28,20923646704,1088172579,473001386,247584574.7,315776836.9,3293591818,281240736.6,44456206.14,45648960.77,2529060477,0,35529662220,5962046904
41820,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,1565247,0,26997865,19.57729295,2.454730605,74.17330041,44.33941107,28.14593548,17.2186013,6.19189013,50.32949961,5.968422418,0.25968383,1.095955428,80.12677871,0,31.1623308,2849.104955,2659.530333,4860.619554,4173.873082,4078.925755,3883.193454,3706.918337,3715.99462,3031.842877,2776.031914,4673.218694,2686.175085,0,5121.054189,319116849.6,70520106.31,25148456721,1320312924,584191904.5,311661223.4,408691453.5,3895726131,347367334,59262729.3,56975882.32,3368952440,0,43084268746,7193033046
41851,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,1866367,0,27298985,21.18796341,2.845676727,77.47446472,47.9877324,31.18530819,19.42641134,7.113279953,53.54105867,6.806959383,0.309095284,1.218836914,80.64635733,0,33.20439203,3045.858075,2794.01005,5431.067911,4514.341861,4326.719142,4079.682313,3869.58019,4012.76601,3147.134846,2960.607003,5005.192932,2844.968364,0,5597.34814,369221961.7,85885074.92,29350528325,1545512022,686598407.3,369415233.4,490109418.1,4475293471,411236110.4,75229023.95,67865410.97,4282124048,0,50736949516,8527931009
41882,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,2194967,0,27627585,22.6030462,3.235882244,80.133147,51.2134439,34.01735268,21.54261367,8.044441923,56.37537464,7.637369879,0.368299013,1.352235688,81.20500217,0,35.05443201,3234.10615,2906.850105,6006.712334,4856.116837,4594.666287,4311.503098,4070.722886,4323.275291,3282.277129,3126.772926,5341.960956,2964.639949,0,6053.297627,418224904.9,101606038.6,33575395573,1774274553,795332139.6,432935272.1,583078134,5076835144,481217932.1,94669303.87,80359118.66,5284242432,0,58624329154,9926158608
41912,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,2500718,0,27933336,23.63656703,3.54536197,81.81111808,53.36784297,35.9159289,22.9770144,8.70159067,58.32323175,8.297541274,0.413027205,1.452194877,80.66255371,0,36.3263772,3392.248792,3006.435263,6510.850423,5153.830676,4834.194762,4509.153714,4245.588644,4604.71065,3403.844003,3273.723898,5646.017904,3061.562645,0,6428.906231,458733804.2,115137451.3,37155418022,1962264338,883497434.8,482930362.8,657803013.3,5594157060,542177888.2,111156021.2,91211419.24,6175609658,0,65235198008,11005101536
41943,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,2826183,0,28258801,24.62079766,3.871597852,83.25017977,55.32880867,37.73805898,24.36743486,9.357728504,60.07987491,8.950367592,0.46686647,1.559255484,80.66901542,0,37.56557824,3553.068972,3111.327155,7034.585207,5461.797221,5084.495219,4722.592786,4430.270014,4895.045638,3529.441211,3431.164827,5943.017444,3155.670879,0,6801.375663,500488848.5,130118812.9,40850349821,2155929755,976385785.9,536396811.2,738176020,6125992975,606414471.1,131688106.1,103087580.6,7194468875,0,72200561064,12151063202
