Fecha,"Numero de clientes 
Nunca015","Numero de clientes 
Nunca+15","Numero de clientes 
Activos SinVdo","Numero de clientes 
Vencidos1","Numero de clientes 
Vencidos2","Numero de clientes 
Vencidos3","Numero de clientes 
Vencidos+4","Numero de clientes 
Saldado015","Numero de clientes 
Saldado+15","Numero de clientes 
ClientesZ","Numero de clientes 
Quebrantados","Numero de clientes 
Generados","Total de 
Clientes","TC 
Nunca015","TC 
Nunca+15","TC 
Activos SinVdo","TC 
Vencidos1","TC 
Vencidos2","TC 
Vencidos3","TC 
Vencidos+4","TC 
Saldado015","TC 
Saldado+15","TC 
ClientesZ","TC 
Quebrantados","TC 
Generados","TC 
Total","CPA 
Nunca015","CPA 
Nunca+15","CPA 
Activos SinVdo","CPA 
Vencidos1","CPA 
Vencidos2","CPA 
Vencidos3","CPA 
Vencidos+4","CPA 
Saldado015","CPA 
Saldado+15","CPA 
ClientesZ","CPA 
Quebrantados","CPA 
Generados","CPA 
Total","Venta 
Nunca015","Venta 
Nunca+15","Venta 
Activos SinVdo","Venta 
Vencidos1","Venta 
Vencidos2","Venta 
Vencidos3","Venta 
Vencidos+4","Venta 
Saldado015","Venta 
Saldado+15","Venta 
ClientesZ","Venta 
Quebrantados","Venta 
Generados","Venta 
Total","Venta 
De contado"
2014-01-31,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,230294,25662912,6.9,0.5,28.4,11.4,5.5,2.8,0.8,16.9,1.2,0,0.3,69.6,10.5,1881,1950,2149,2620,2788,2796,2488,2217,2327,2078,2509,1664,2623,74152924,10080901,4260854374,212809915,77842593,35979115,34106453,780194788,53336700,4128768,7008601,266872937,7088840904,1271472838
2014-02-28,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,436201,25868819,10.2,0.8,43.9,19.8,10.3,5.5,1.6,26.6,2.1,0.1,0.4,73.5,16.6,2036,2064,2596,2850,2913,2857,2608,2468,2444,2142,2925,1875,3059,119099010,18239942,7943327674,402334627,152377608,72611981,75076309,1365691306,97550915,9425872,14422355,601189253,13146651146,2275304294
2014-03-31,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,705268,26137886,13.2,1.2,55.5,27.6,15.5,8.6,2.8,34.8,3.1,0.1,0.6,76.2,21.7,2216,2172,3132,3134,3179,3057,2908,2761,2559,2218,3385,2055,3557,167334587,28946641,12122461334,617812747,251238237,123222898,142880713,2000407781,151031477,18105864,23784081,1105310214,20136513713,3383977139
2014-04-30,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,977923,26410541,15.7,1.6,63.8,34.2,20.2,11.7,3.9,41.2,4.1,0.1,0.8,78.5,25.6,2407,2308,3683,3445,3456,3319,3156,3058,2680,2375,3799,2257,4065,215659436,41069802,16388192651,840601354,355781521,181097627,220396622,2622097426,209952410,29232132,33746442,1731532712,27447925278,4578565143
2014-05-31,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,1262252,26694870,17.8,2.1,70,39.9,24.6,14.7,5.1,46.6,5.1,0.2,1,80.1,28.8,2643,2509,4286,3821,3777,3618,3449,3395,2869,2600,4273,2500,4624,269662905,55772132,20923646704,1088172579,473001386,247584575,315776837,3293591818,281240737,44456206,45648961,2529060477,35529662220,5962046904
2014-06-30,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,1565247,26997865,19.6,2.5,74.2,44.3,28.1,17.2,6.2,50.3,6,0.3,1.1,80.1,31.2,2849,2660,4861,4174,4079,3883,3707,3716,3032,2776,4673,2686,5121,319116850,70520106,25148456721,1320312924,584191905,311661223,408691454,3895726131,347367334,59262729,56975882,3368952440,43084268746,7193033046
2014-07-31,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,1866367,27298985,21.2,2.8,77.5,48,31.2,19.4,7.1,53.5,6.8,0.3,1.2,80.6,33.2,3046,2794,5431,4514,4327,4080,3870,4013,3147,2961,5005,2845,5597,369221962,85885075,29350528325,1545512022,686598407,369415233,490109418,4475293471,411236110,75229024,67865411,4282124048,50736949516,8527931009
2014-08-31,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,2194967,27627585,22.6,3.2,80.1,51.2,34,21.5,8,56.4,7.6,0.4,1.4,81.2,35.1,3234,2907,6007,4856,4595,4312,4071,4323,3282,3127,5342,2965,6053,418224905,101606039,33575395573,1774274553,795332140,432935272,583078134,5076835144,481217932,94669304,80359119,5284242432,58624329154,9926158608
2014-09-30,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,2500718,27933336,23.6,3.5,81.8,53.4,35.9,23,8.7,58.3,8.3,0.4,1.5,80.7,36.3,3392,3006,6511,5154,4834,4509,4246,4605,3404,3274,5646,3062,6429,458733804,115137451,37155418022,1962264338,883497435,482930363,657803013,5594157060,542177888,111156021,91211419,6175609658,65235198008,11005101536
2014-10-31,572122,1080200,6975448,713424,508855,466118,1780571,2083007,1919653,8220766,1112454,2826183,28258801,24.6,3.9,83.3,55.3,37.7,24.4,9.4,60.1,9,0.5,1.6,80.7,37.6,3553,3111,7035,5462,5084,4723,4430,4895,3529,3431,5943,3156,6801,500488849,130118813,40850349821,2155929755,976385786,536396811,738176020,6125992975,606414471,131688106,103087581,7194468875,72200561064,12151063202
